,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Regionname,Propertycount,Pridicted_Price
0,Abbotsford,217 Langridge St,3,h,S,Jellis,8/10/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1487325.6
1,Abbotsford,18a Mollison St,2,t,S,Jellis,8/10/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1021853.4
2,Abbotsford,403/609 Victoria St,2,u,S,Dingle,8/10/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,941908.25
3,Abbotsford,25/84 Trenerry Cr,2,u,SP,Biggin,10/12/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,906057.75
4,Abbotsford,106/119 Turner St,1,u,SP,Purplebricks,10/12/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,835165.5
5,Abbotsford,22 Park St,4,h,S,Biggin,12/11/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1612698.0
6,Abbotsford,13/84 Trenerry Cr,1,u,S,Biggin,12/11/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,871016.0
7,Abbotsford,250 Langridge St,2,t,S,Jellis,16/07/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1021853.4
8,Abbotsford,65/80 Trenerry Cr,1,u,S,Biggin,19/11/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,871016.0
9,Abbotsford,119/52 Nicholson St,1,u,S,hockingstuart,22/05/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,871016.0
10,Abbotsford,49/84 Trenerry Cr,2,h,S,Biggin,23/04/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1364991.4
11,Abbotsford,17/1 Abbot St,3,t,SP,Jellis,25/02/2017,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1148037.5
12,Abbotsford,82/84 Trenerry Cr,2,u,SP,Biggin,28/05/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,906057.75
13,Abbotsford,40/80 Trenerry Cr,3,h,S,Biggin,30/07/2016,2.5,3067.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,4019.0,1487325.6
14,Airport West,4/9 West Ct,2,t,VB,Barry,4/06/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,635121.1
15,Airport West,1/36 York St,3,t,VB,Nelson,4/06/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,644428.6
16,Airport West,33 Bowes Av,5,h,S,Airport,6/08/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,792122.56
17,Airport West,89 Bowes Av,4,h,S,Barry,6/08/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,771472.5
18,Airport West,45 Laurence Av,4,h,S,Nelson,6/08/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,771472.5
19,Airport West,81a Roberts Rd,3,h,VB,Nelson,8/10/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,680752.2
20,Airport West,3/24 Elstone Av,3,u,VB,Nelson,10/09/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,570199.75
21,Airport West,37a North St,3,t,PI,Barry,10/12/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,640282.9
22,Airport West,1/69 Bowes Av,3,u,VB,Nelson,12/11/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,570199.75
23,Airport West,2/9 El Reno Cr,3,h,PI,Ray,12/11/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,686623.06
24,Airport West,92 McNamara Av,4,h,S,Jellis,13/08/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,771472.5
25,Airport West,20 Creswell Av,3,h,S,Barry,14/05/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,744141.7
26,Airport West,71 Bowes Av,4,h,S,Barry,15/10/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,771472.5
27,Airport West,2/112 Parer Rd,2,u,SP,Nelson,15/10/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,608498.44
28,Airport West,7 McNamara Av,3,h,S,Barry,17/09/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,744141.7
29,Airport West,1/41 Hillside Gr,2,t,VB,Nelson,18/06/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,635121.1
30,Airport West,7/42 York St,3,u,S,Brad,22/05/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,606815.94
31,Airport West,4/40 McNamara Av,2,u,PI,Barry,26/07/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,556938.8
32,Airport West,5/93 McNamara Av,2,t,SP,Frank,26/07/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,685078.1
33,Airport West,2/137 McNamara Av,3,h,S,Ray,27/06/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,744141.7
34,Airport West,1/46 Bowes Av,3,t,S,Barry,27/11/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,681897.1
35,Airport West,1/34 Elstone Av,3,u,S,McDonald,27/11/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,606815.94
36,Airport West,22a Walters Av,3,u,S,Nelson,28/08/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,606815.94
37,Airport West,1/145 Parer Rd,3,u,PI,Nelson,30/07/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,565201.75
