,Unnamed: 0,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,8,Abbotsford,217 Langridge St,3,h,S,Jellis,8/10/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
1,9,Abbotsford,18a Mollison St,2,t,S,Jellis,8/10/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
2,12,Abbotsford,403/609 Victoria St,2,u,S,Dingle,8/10/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
3,13,Abbotsford,25/84 Trenerry Cr,2,u,SP,Biggin,10/12/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
4,14,Abbotsford,106/119 Turner St,1,u,SP,Purplebricks,10/12/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
5,18,Abbotsford,22 Park St,4,h,S,Biggin,12/11/2016,2.5,3067.0,,,,,,,,-37.8084,144.9942,Northern Metropolitan,4019.0
6,19,Abbotsford,13/84 Trenerry Cr,1,u,S,Biggin,12/11/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
7,24,Abbotsford,250 Langridge St,2,t,S,Jellis,16/07/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
8,34,Abbotsford,65/80 Trenerry Cr,1,u,S,Biggin,19/11/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
9,35,Abbotsford,119/52 Nicholson St,1,u,S,hockingstuart,22/05/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
10,40,Abbotsford,49/84 Trenerry Cr,2,h,S,Biggin,23/04/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
11,42,Abbotsford,17/1 Abbot St,3,t,SP,Jellis,25/02/2017,2.5,3067.0,,,,,,,,-37.7972,144.9969,Northern Metropolitan,4019.0
12,49,Abbotsford,82/84 Trenerry Cr,2,u,SP,Biggin,28/05/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
13,51,Abbotsford,40/80 Trenerry Cr,3,h,S,Biggin,30/07/2016,2.5,3067.0,,,,,,,,,,Northern Metropolitan,4019.0
14,59,Airport West,4/9 West Ct,2,t,VB,Barry,4/06/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
15,60,Airport West,1/36 York St,3,t,VB,Nelson,4/06/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
16,61,Airport West,33 Bowes Av,5,h,S,Airport,6/08/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
17,62,Airport West,89 Bowes Av,4,h,S,Barry,6/08/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
18,63,Airport West,45 Laurence Av,4,h,S,Nelson,6/08/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
19,69,Airport West,81a Roberts Rd,3,h,VB,Nelson,8/10/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
20,72,Airport West,3/24 Elstone Av,3,u,VB,Nelson,10/09/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
21,74,Airport West,37a North St,3,t,PI,Barry,10/12/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
22,76,Airport West,1/69 Bowes Av,3,u,VB,Nelson,12/11/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
23,77,Airport West,2/9 El Reno Cr,3,h,PI,Ray,12/11/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
24,78,Airport West,92 McNamara Av,4,h,S,Jellis,13/08/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
25,80,Airport West,20 Creswell Av,3,h,S,Barry,14/05/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
26,82,Airport West,71 Bowes Av,4,h,S,Barry,15/10/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
